date,distance_m,event,surface,tier,metric,value,threshold,n_neighbors,sigma_global
2014-09-06,3000,Tahoma Coed Relays,XC,sub-M,past_log_pace_z,4.447,2.5,9,0.0479
2016-04-02,21098,Deception Pass Half Marathon,XC,HM,symmetric_resid_sec,1754.2,500.0,3,
2019-11-09,42195,Nashville Marathon,Road,M,symmetric_resid_sec,637.5,115.0,4,
2021-10-11,42195,Boston Marathon,Road,M,symmetric_resid_sec,2094.0,115.0,8,
2021-11-20,42195,Nashville Rock 'n' Roll Marathon,Road,M,symmetric_resid_sec,901.0,115.0,8,
2022-04-18,42195,Boston Marathon,Road,M,symmetric_resid_sec,229.0,115.0,10,
2023-09-24,42195,Berlin Marathon,Road,M,symmetric_resid_sec,118.0,115.0,12,
2024-04-15,42195,Boston Marathon,Road,M,symmetric_resid_sec,778.0,115.0,12,
2024-09-29,42195,Boulderthon,Road,M,symmetric_resid_sec,1033.5,115.0,12,
2025-04-21,42195,Boston Marathon,Road,M,symmetric_resid_sec,252.0,115.0,10,
2025-11-30,42195,Seattle Marathon,Road,M,symmetric_resid_sec,177.0,115.0,7,
