date,distance_m,actual_sec,actual_sec_original,surface,predicted_sec,pct_resid,cs_pace_med_at_race,dp_med_at_race,event
2008-04-26,5000.0,1729.0,1729.0,Road,1724.0569216396727,0.28671201619179243,9.570365368957464,168.06907654922506,Hawk Walk and Run
2008-05-10,5000.0,1844.0,1844.0,Road,1720.0428391062233,7.206632188195261,9.54824265923759,168.14992096916274,Nike 5K For Kids
2008-07-04,5000.0,1600.3,1600.3,Road,1699.2019814895802,-5.820495889657529,9.433216613174533,168.49054810707543,Run for the Pies
2009-04-25,5000.0,1570.0,1570.0,Road,1580.7350429733515,-0.6791171626814196,8.777326905899837,169.47379638451153,Hawk Walk and Run
2009-07-04,5000.0,1524.2,1524.2,Road,1588.6585308206782,-4.057418858121753,8.820887352340065,169.2349221781809,Run for the Pies
2010-01-01,5000.0,1736.0,1736.0,Road,1662.1769012717032,4.441350296217927,9.227094895567053,168.1895308035364,Club Northwest Resolution Run
2013-07-04,5000.0,1420.2,1420.2,Road,1298.322175473266,9.387332884636823,7.200465032345005,163.62949295889888,Run for the Pies
2013-07-13,5000.0,1404.0,1404.0,Road,1290.8861728670768,8.762494285742939,7.159181406355038,163.5999539871457,Redmond Derby Days Dash
2013-08-31,5000.0,1220.7547169811319,1294.0,XC,1232.9613156177925,-0.9900228402984657,6.837952833239618,163.61367231621756,Redmond time trial
2013-09-07,3000.0,856.6037735849055,908.0,XC,717.976819955648,19.307998500260904,6.789604867093067,163.62559640035101,Tahoma Coed Relays
2013-09-12,5000.0,1141.509433962264,1210.0,XC,1215.5709279330379,-6.092733239080372,6.741558728885301,163.65117199206188,KingCo 4A Preview
2013-09-18,4828.0,1096.2264150943395,1162.0,XC,1164.1836243392231,-5.837327361777255,6.694942340190823,163.85246014436132,Ballard & Redmond @ Issaquah
2013-09-21,5000.0,1164.5283018867924,1234.4,XC,1207.115281555312,-3.527996067918915,6.694942340190823,163.85246014436132,Fort Steilacoom Invitational
2013-09-25,5000.0,1148.1132075471696,1217.0,XC,1198.726268636856,-4.22223675362029,6.648497682242964,163.91266048572402,Bothell @ Redmond
2013-10-05,5000.0,1117.9245283018868,1185.0,XC,1190.322212819636,-6.082192177717449,6.602075534518477,164.051311711927,Twilight XC Invitational
