city_state,latitude,longitude,geocoded_at
"Ann Arbor, MI",42.2813722,-83.7484616,2026-05-02
"Arlington, WA",48.1896827,-122.1288887,2026-05-02
"Banff, AB",51.175076,-115.5720773,2026-05-02
"Baton Rouge, LA",30.4494155,-91.1869659,2026-05-02
"Beijing, CN",39.9057136,116.3912972,2026-05-02
"Bellevue, WA",47.6144219,-122.192337,2026-05-02
"Bellingham, WA",48.7544012,-122.478836,2026-05-03
"Berlin, DE",51.51767,13.40554,2026-05-02
"Boston, MA",42.3588336,-71.0578303,2026-05-02
"Bothell, WA",47.7623204,-122.2054035,2026-05-03
"Boulder, CO",40.0149856,-105.270545,2026-05-02
"Bowling Green, KY",36.9929203,-86.4428677,2026-05-02
"Butte, MT",46.0131505,-112.536508,2026-05-02
"Calais, FR",50.9524769,1.8538446,2026-05-02
"Cambridge, UK",52.1975846,0.1391537,2026-05-02
"Carlisle, UK",54.8948478,-2.9362311,2026-05-02
"Carmel, IN",39.9784186,-86.1283681,2026-05-02
"Carnation, WA",47.6475134,-121.9129419,2026-05-02
"Chicago, IL",41.8755616,-87.6244212,2026-05-02
"Cincinnati, OH",39.1014537,-84.5124602,2026-05-02
"Coulee City, WA",47.6112561,-119.292249,2026-05-03
"Dalton, GA",34.7691867,-84.9702475,2026-05-02
"Denver, CO",39.7392364,-104.984862,2026-05-02
"Detroit, MI",42.3315509,-83.0466403,2026-05-02
"Door County, WI",44.7615925,-87.5329747,2026-05-02
"Edinburgh, UK",55.9533456,-3.1883749,2026-05-02
"Everett, WA",47.9793437,-122.2127011,2026-05-02
"Everson, WA",48.9201471,-122.3426345,2026-05-02
"Falls Church, VA",38.882334,-77.1710914,2026-05-02
"Franklin, IN",39.4149034,-85.0563234,2026-05-02
"Franklin, TN",35.925206,-86.8689419,2026-05-02
"Geneva, CH",46.2017559,6.1466014,2026-05-02
"Granite Lakes, WA",48.4781789,-121.3191828,2026-05-02
"Hopewell Junction, NY",41.5810881,-73.8106688,2026-05-02
"Issaquah, WA",47.5348778,-122.043297,2026-05-03
"Ithaca, NY",42.4374175,-76.5483724,2026-05-02
"Kadoka, SD",43.833882,-101.509866,2026-05-02
"Kailua-Kona, HI",19.641941,-155.996933,2026-05-02
"Kansas City, KS",39.1134562,-94.626497,2026-05-02
"Kenmore, WA",47.7596715,-122.2496367,2026-05-02
"Kent, WA",47.3826903,-122.2270272,2026-05-02
"Kilauea, HI",22.2086318,-159.4066942,2026-05-02
"Kirkland, WA",47.6765382,-122.2070775,2026-05-02
"Kyoto, JP",35.0115754,135.7681441,2026-05-03
"Lakewood, WA",47.1717649,-122.518458,2026-05-03
"Langley, WA",48.0399806,-122.4094051,2026-05-02
"Little Rock, AR",34.7465071,-92.2896267,2026-05-02
"Longmont, CO",40.1672117,-105.101928,2026-05-02
"Longs Peak, CO",40.2548911,-105.6152347,2026-05-02
"Los Angeles, CA",34.0536909,-118.242766,2026-05-02
"Maple Valley, WA",47.3664231,-122.0437127,2026-05-03
"Marysville, WA",48.0517429,-122.1768209,2026-05-02
"Mercer Island, WA",47.5766324,-122.2276378,2026-05-02
"Mill Creek, WA",47.8577455,-122.2210628,2026-05-02
"Mt. Elbert, CO",39.1177521,-106.4453787,2026-05-02
"Mt. Washington, WA",47.531346,-123.2461357,2026-05-02
"Murfreesboro, TN",35.8460396,-86.3921096,2026-05-02
"Nagoya, JP",35.1851045,136.8998438,2026-05-03
"Nashville, TN",36.1622767,-86.7742984,2026-05-02
"Nederland, CO",39.9613759,-105.510831,2026-05-02
"New York, NY",40.7127281,-74.0060152,2026-05-02
"Niwot, CO",40.1016754,-105.1534902,2026-05-02
"Oak Harbor, WA",48.2931559,-122.643224,2026-05-02
"Osaka, JP",34.6937569,135.5014539,2026-05-02
"Panama City Beach, FL",30.1765914,-85.805386,2026-05-02
"Paris, FR",48.8534951,2.3483915,2026-05-02
"Pasco, WA",46.2306739,-119.0921,2026-05-02
"Philadelphia, PA",39.9527237,-75.1635262,2026-05-02
"Plain, WA",47.7608573,-120.6611961,2026-05-02
"Qingdao, CN",36.0663249,120.3777659,2026-05-02
"Redmond, WA",47.6694141,-122.1238767,2026-05-02
"Renton, WA",47.4799078,-122.2034496,2026-05-02
"Rochester, NY",43.157285,-77.615214,2026-05-02
"Sammamish, WA",47.6017554,-122.0416844,2026-05-02
"San Francisco, CA",37.7879363,-122.4075201,2026-05-03
"Sapporo, JP",43.061936,141.3542924,2026-05-03
"Seattle, WA",47.6038321,-122.330062,2026-05-02
"Seoul, KR",37.5666791,126.9782914,2026-05-02
"Shelton, WA",47.2150945,-123.100706,2026-05-03
"Shoreline, WA",47.7564667,-122.3437497,2026-05-02
"Snoqualmie, WA",47.5289527,-121.827093,2026-05-02
"Sonchamp, FR",48.5758959,1.8784145,2026-05-02
"Spokane, WA",47.6571934,-117.42351,2026-05-03
"Stornoway, UK",58.2199511,-6.4069633,2026-05-02
"Tacoma, WA",47.2455013,-122.438329,2026-05-02
"Thompson's Station, TN",35.802011,-86.9113908,2026-05-02
"Tokyo, JP",35.6768601,139.7638947,2026-05-02
"Toronto, ON",43.6534817,-79.3839347,2026-05-02
"Unity Village, MO",38.9512414,-94.401704,2026-05-02
"Vancouver, BC",49.2608724,-123.113952,2026-05-02
"Verbier, CH",46.0961011,7.2286765,2026-05-02
"Waldron Island, WA",48.6991535,-123.0398579,2026-05-03
"Washington, DC",38.8950982,-77.0363849,2026-05-02
"Westfield, NY",42.32228,-79.578103,2026-05-02
"Williamsburg, VA",37.2708788,-76.7074042,2026-05-02
"Woodinville, WA",47.7545827,-122.1588902,2026-05-02
