# section: current_log year=2026
date,sleep_cycles,miles,minutes,temp_c,weather,workout_raw,partners,conditions,wind,time_of_day,shoes,location,weight_lbs
2026-01-01,4.0,10.0,60.0,-2.0,clear,rec@6:00,solo,dry,moderate,morning,Saucony Endorphin Speed 4*,dc,
2026-01-02,6.0,21.1,126.0,-4.0,clear,long@5:58,solo,icy,moderate,afternoon,Saucony Endorphin Speed 5,south lakefront,153.6
2026-01-03,5.0,10.0,60.0,-2.0,overcast,rec@6:00,solo,dry,low,afternoon,Saucony Endorphin Speed 4*,lakefront,156.0
2026-01-04,6.0,10.0,58.0,1.0,cloudy,rec@5:48,solo,dry,low,afternoon,Saucony Endorphin Speed 4*,lakefront,154.9
2026-01-05,3.0,10.0,61.0,2.0,clear,rec@6:06,solo,wet,low,morning,Saucony Endorphin Speed 4*,lakefront,155.5
2026-01-06,5.0,14.6,84.0,5.0,overcast,"20j, 10000i@4:56, 21j",solo,wet,low,morning,Nike Dragonfly 2 Elite,montrose track,
2026-01-07,5.0,10.0,60.0,2.0,overcast,rec@6:00,solo,wet,low,morning,Saucony Endorphin Speed 4*,lakefront,154.9
2026-01-08,5.0,10.0,61.0,8.0,overcast,rec@6:06,solo,wet,moderate,morning,Saucony Endorphin Speed 4*,lakefront,
2026-01-09,4.0,24.5,149.0,5.0,overcast,long@6:04,solo,wet,high,morning,Saucony Endorphin Speed 5,south lakefront,154.4
2026-01-10,5.0,10.0,60.0,3.0,light rain,rec@6:00,solo,wet,low,morning,Saucony Endorphin Speed 4*,lakefront,154.9
2026-01-11,5.0,10.0,59.0,1.0,overcast,rec@5:54,solo,dry,moderate,afternoon,Saucony Endorphin Speed 4*,lakefront,
2026-01-12,6.0,14.6,83.0,5.0,cloudy,"20j, 10000i@4:55, 21j",solo,dry,moderate,afternoon,Adidas Adios Pro 3*,montrose track,154.7
2026-01-13,5.0,10.0,63.0,4.0,overcast,rec@6:18,solo,dry,moderate,morning,Saucony Endorphin Speed 4*,lakefront,154.7
2026-01-14,5.0,10.0,63.0,-3.0,flurries,rec@6:18,solo,snow,high,morning,Saucony Endorphin Speed 4*,lakefront,156.6
2026-01-15,4.0,24.6,142.0,-10.0,cloudy,long@5:46,solo,icy,low,morning,Saucony Endorphin Speed 5,lakefront,154.7
2026-01-16,5.0,10.6,68.0,-3.0,snow,rec@6:24,solo,snow,moderate,morning,Saucony Endorphin Speed 4*,lakefront,155.3
2026-01-17,5.0,11.0,65.0,-10.0,cloudy,rec@5:54,solo,dry,moderate,morning,Saucony Endorphin Speed 4*,lakefront,155.3
2026-01-18,6.0,10.0,60.0,-8.0,cloudy,rec@6:00,solo,dry,low,afternoon,Saucony Endorphin Speed 4*,lakefront,154.7
2026-01-19,6.0,14.1,77.0,-13.0,clear,"18j, 9654i@5:04, 20j",solo,icy,moderate,afternoon,Saucony Endorphin Speed 5,lakefront,154.7
2026-01-20,5.0,10.0,60.0,-7.0,clear,rec@6:00,solo,dry,low,afternoon,Saucony Endorphin Speed 4*,lakefront,
2026-01-21,5.0,10.0,62.0,-2.0,cloudy,rec@6:12,solo,wet,low,morning,Saucony Endorphin Speed 4*,lakefront,155.3
2026-01-22,4.0,24.1,151.0,-7.0,cloudy,long@6:15,solo,icy,low,morning,Saucony Endorphin Speed 5,south lakefront,154.7
2026-01-23,6.0,10.0,58.0,-19.0,clear,rec@5:48,solo,dry,moderate,afternoon,Saucony Endorphin Speed 4*,lakefront,154.7
2026-01-24,6.0,10.0,61.0,-14.0,overcast,rec@6:06,solo,snow,low,afternoon,Saucony Endorphin Speed 4*,lakefront,154.7
2026-01-25,6.0,11.2,73.0,-8.0,snow,rec@6:31,solo,snow,low,afternoon,Saucony Endorphin Speed 4*,lakefront,154.7
2026-01-26,6.0,11.2,70.0,-12.0,clear,rec@6:15,solo,snow,moderate,afternoon,Saucony Endorphin Speed 4*,lakefront,154.7
2026-01-27,4.0,8.4,53.0,-10.0,overcast,rec@6:18,solo,snow,moderate,morning,Saucony Endorphin Speed 4*,lakefront,156.0
2026-01-28,5.0,10.6,63.0,-15.0,clear,rec@5:56,solo,dry,low,morning,Saucony Endorphin Speed 4*,lakefront,154.7
2026-01-29,5.0,7.6,44.0,-8.0,clear,rec@5:47,solo,dry,low,afternoon,Saucony Endorphin Speed 4*,lakefront,153.8
2026-01-30,4.0,6.2,39.0,-11.0,snow,rec@6:17,solo,dry,low,morning,Saucony Endorphin Speed 4*,lakefront,155.3
2026-01-31,4.0,6.2,39.0,-7.0,overcast,rec@6:17,solo,snow,moderate,morning,Saucony Endorphin Speed 4*,lakefront,156.0
2026-02-01,6.0,8.2,49.0,-2.0,cloudy,rec@5:58,solo,dry,moderate,afternoon,Saucony Endorphin Speed 4*,lakefront,154.7
2026-02-02,4.0,6.5,39.0,-3.0,overcast,rec@6:00,solo,wet,low,afternoon,Saucony Endorphin Speed 4*,lakefront,154.7
2026-02-03,4.0,8.2,50.0,-5.0,clear,rec@6:05,solo,wet,low,morning,Saucony Endorphin Speed 4*,lakefront,156.0
2026-02-04,5.0,6.4,36.0,-3.0,overcast,rec@5:37,solo,wet,moderate,afternoon,Saucony Endorphin Speed 4*,lakefront,154.7
2026-02-05,5.0,6.6,39.0,-5.0,snow,rec@5:54,solo,wet,low,morning,Saucony Endorphin Speed 4*,lakefront,155.3
2026-02-06,4.0,6.5,38.0,1.0,overcast,rec@5:50,solo,wet,moderate,morning,Saucony Endorphin Speed 4*,lakefront,154.7
2026-02-07,6.0,6.3,38.0,0.0,cloudy,rec@6:01,solo,wet,moderate,afternoon,Saucony Endorphin Speed 4*,lakefront,154.7
2026-02-08,6.0,6.6,40.0,-1.0,cloudy,rec@6:03,solo,wet,moderate,afternoon,Saucony Endorphin Speed 4*,lakefront,154.3
2026-02-09,5.0,6.7,39.0,2.0,cloudy,rec@5:49,solo,wet,low,afternoon,Saucony Endorphin Speed 4*,lakefront,153.9
2026-02-10,4.0,6.6,39.0,4.0,cloudy,rec@5:54,solo,wet,low,morning,Saucony Endorphin Speed 4*,lakefront,154.7
2026-02-11,5.0,6.4,38.0,-1.0,cloudy,rec@5:56,solo,dry,low,morning,Saucony Endorphin Speed 4*,lakefront,154.7
2026-02-12,5.0,6.2,37.0,0.0,cloudy,rec@5:58,solo,dry,low,morning,Saucony Endorphin Speed 4*,lakefront,153.0
2026-02-13,5.0,6.8,37.0,12.0,clear,rec@5:26,solo,wet,moderate,afternoon,Saucony Endorphin Speed 5,lakefront,153.9
2026-02-14,5.0,6.8,39.0,5.0,clear,rec@5:44,solo,dry,low,morning,Saucony Endorphin Speed 5,lakefront,154.7
2026-02-15,6.0,6.8,39.0,13.0,clear,rec@5:44,solo,dry,low,afternoon,Saucony Endorphin Speed 5,lakefront,151.6
2026-02-16,6.0,8.2,49.0,18.0,clear,rec@5:58,solo,dry,moderate,afternoon,Saucony Endorphin Speed 5,lakefront,151.6
2026-02-17,5.0,8.0,47.0,10.0,overcast,rec@5:52,solo,dry,moderate,afternoon,Saucony Endorphin Speed 5,lakefront,153.9
2026-02-18,5.0,9.2,53.0,15.0,clear,rec@5:45,solo,dry,low,late,Saucony Endorphin Speed 5,lakefront,152.5
2026-02-19,5.0,6.8,41.0,10.0,clear,rec@6:01,solo,dry,low,morning,Saucony Endorphin Speed 5,lakefront,152.5
