date,year,race_seq,fatigued,distance_m,time_sec,pace_sec_per_mi,location,temp_c,weather,conditions,shoes,surface,event,note,surface_source,workout_raw,source_file
2008-04-26,2008,1,False,5000,1729.0,556.5111552000001,"Redmond, WA",,,,,Road,Hawk Walk and Run,,addition,,snapshot:additions
2008-05-10,2008,1,False,5000,1844.0,593.5260672,"Seattle, WA",,,,,Road,Nike 5K For Kids,,addition,,snapshot:additions
2008-07-04,2008,1,False,5000,1600.3,515.08664064,"Carnation, WA",,,,,Road,Run for the Pies,,addition,,snapshot:additions
2009-04-25,2009,1,False,5000,1570.0,505.334016,"Redmond, WA",,,,,Road,Hawk Walk and Run,,addition,,snapshot:additions
2009-07-04,2009,1,False,5000,1524.2,490.59242496,"Carnation, WA",,,,,Road,Run for the Pies,,addition,,snapshot:additions
2010-01-01,2010,1,False,5000,1736.0,558.7642368,"Seattle, WA",,,,,Road,Club Northwest Resolution Run,,addition,,snapshot:additions
2013-07-04,2013,1,False,5000,1420.2,457.11806976,"Carnation, WA",,,,,Road,Run for the Pies,,addition,,snapshot:additions
2013-07-13,2013,1,False,5000,1404.0,451.9037952,"Redmond, WA",,,,,Road,Redmond Derby Days Dash,,addition,,snapshot:additions
2013-08-31,2013,1,False,5000,1294.0,416.49822720000003,"Redmond, WA",,,,,XC,Redmond time trial,,addition,,snapshot:additions
2013-09-07,2013,1,False,3000,908.0,487.094784,"Maple Valley, WA",,,,,XC,Tahoma Coed Relays,,addition,,snapshot:additions
2013-09-12,2013,1,False,5000,1210.0,389.461248,"Seattle, WA",,,,,XC,KingCo 4A Preview,,addition,,snapshot:additions
2013-09-18,2013,1,False,4828,1162.0,387.3359005799503,"Issaquah, WA",,,,,XC,Ballard & Redmond @ Issaquah,,addition,,snapshot:additions
2013-09-21,2013,1,False,5000,1234.4,397.31484672000005,"Lakewood, WA",,,,,XC,Fort Steilacoom Invitational,,addition,,snapshot:additions
2013-09-25,2013,1,False,5000,1217.0,391.71432960000004,"Redmond, WA",,,,,XC,Bothell @ Redmond,,addition,,snapshot:additions
2013-10-05,2013,1,False,5000,1185.0,381.414528,"Marysville, WA",,,,,XC,Twilight XC Invitational,,addition,,snapshot:additions
2013-10-09,2013,1,False,5000,1193.0,383.9894784,"Kenmore, WA",,,,,XC,Redmond @ Inglemoor,,addition,,snapshot:additions
2013-10-16,2013,1,False,5000,1171.0,376.9083648,"Redmond, WA",,,,,XC,Woodinville & Eastlake @ Redmond,,addition,,snapshot:additions
2013-10-24,2013,1,False,5000,1136.4,365.77170432,"Seattle, WA",,,,,XC,KingCo 4A Championships,,addition,,snapshot:additions
2013-12-07,2013,1,False,3218,778.0,389.0831671845867,"Seattle, WA",,,,,Road,New Balance Winter Grand Prix,,addition,,snapshot:additions
2014-01-01,2014,1,False,4828,1115.0,371.66913007456503,"Seattle, WA",,,,,Road,Club Northwest Resolution Run,,addition,,snapshot:additions
2014-01-18,2014,1,False,3218,745.0,372.579639527657,"Seattle, WA",,,,,Road,New Balance Winter Grand Prix,,addition,,snapshot:additions
2014-03-20,2014,1,False,3200,652.2,328.00442400000003,"Redmond, WA",,,,,Track,Issaquah & Monroe @ Redmond,,addition,,snapshot:additions
2014-03-29,2014,1,False,1600,307.4,309.19521599999996,"Kent, WA",,,,,Track,Kent-Meridian Invitational,,addition,,snapshot:additions
2014-04-03,2014,1,False,800,142.2,286.06089599999996,"Bellevue, WA",,,,,Track,Redmond & Roosevelt @ Newport,,addition,,snapshot:additions
2014-04-17,2014,1,False,3200,649.5,326.64654,"Sammamish, WA",,,,,Track,Redmond @ Eastlake,,addition,,snapshot:additions
2014-04-24,2014,1,False,1600,298.22,299.96160480000003,"Kenmore, WA",,,,,Track,Redmond @ Inglemoor,,addition,,snapshot:additions
2014-05-01,2014,1,False,3200,639.3,321.516756,"Woodinville, WA",,,,,Track,Redmond @ Woodinville,,addition,,snapshot:additions
2014-05-08,2014,1,False,3200,662.2,333.03362400000003,"Redmond, WA",,,,,Track,Roosevelt @ Redmond,,addition,,snapshot:additions
2014-07-04,2014,1,False,5000,1106.9,356.27657472000004,"Carnation, WA",,,,,Road,Run for the Pies,,addition,,snapshot:additions
2014-07-12,2014,1,False,5000,1114.0,358.5618432,"Redmond, WA",,,,,Road,Redmond Derby Days Dash,,addition,,snapshot:additions
2014-08-30,2014,1,False,5000,1120.0,360.493056,"Redmond, WA",,,,,XC,Redmond time trial,,addition,,snapshot:additions
2014-09-06,2014,1,False,3000,779.0,417.892992,"Maple Valley, WA",,,,,XC,Tahoma Coed Relays,,addition,,snapshot:additions
2014-09-10,2014,1,False,5000,1086.0,349.5495168,"Sammamish, WA",,,,,XC,KingCo 4A Preview,,addition,,snapshot:additions
2014-09-17,2014,1,False,5000,1118.0,359.8493184,"Kenmore, WA",,,,,XC,Redmond & Eastlake @ Inglemoor,,addition,,snapshot:additions
2014-09-20,2014,1,False,5000,1093.0,351.8025984,"Langley, WA",,,,,XC,South Whidbey Invitational,,addition,,snapshot:additions
2014-10-04,2014,1,False,5000,1097.0,353.09007360000004,"Marysville, WA",,,,,XC,Twilight XC Invitational,,addition,,snapshot:additions
2015-03-19,2015,1,False,3200,677.1,340.527132,"Issaquah, WA",,,,,Track,Redmond @ Issaquah,,addition,,snapshot:additions
2015-03-26,2015,1,False,1600,314.9,316.739016,"Redmond, WA",,,,,Track,Mt. Si @ Redmond,,addition,,snapshot:additions
2015-04-02,2015,1,False,800,143.6,288.877248,"Kenmore, WA",,,,,Track,Redmond @ Inglemoor,,addition,,snapshot:additions
2015-04-16,2015,1,False,3200,667.2,335.548224,"Redmond, WA",,,,,Track,Eastlake @ Redmond,,addition,,snapshot:additions
2015-04-23,2015,1,False,1600,310.21,312.0216264,"Bothell, WA",,,,,Track,Redmond @ Bothell,,addition,,snapshot:additions
2015-04-30,2015,1,False,3200,660.7,332.279244,"Redmond, WA",,,,,Track,Inglemoor & Skyline @ Redmond,,addition,,snapshot:additions
2015-05-07,2015,1,False,1600,315.62,317.4632208,"Woodinville, WA",,,,,Track,Redmond & Newport @ Woodinville,,addition,,snapshot:additions
2015-07-04,2015,1,False,5000,1186.2,381.80077056000005,"Carnation, WA",,,,,Road,Run for the Pies,,addition,,snapshot:additions
2015-07-11,2015,1,False,5000,1129.0,363.3898752,"Redmond, WA",,,,,Road,Redmond Derby Days Dash,,addition,,snapshot:additions
2015-08-29,2015,1,False,5000,1180.0,379.805184,"Redmond, WA",,,,,XC,Redmond time trial,,addition,,snapshot:additions
2015-09-09,2015,1,False,5000,1100.0,354.05568,"Sammamish, WA",,,,,XC,KingCo 4A Preview,,addition,,snapshot:additions
2015-09-12,2015,1,False,3218,702.0,351.0750428837788,"Bellingham, WA",,,,,XC,Sehome Invitational,,addition,,snapshot:additions
2015-09-16,2015,1,False,5000,1105.0,355.665024,"Redmond, WA",,,,,XC,Inglemoor & Eastlake @ Redmond,,addition,,snapshot:additions
2015-09-19,2015,1,False,5000,1089.4,350.64387072000005,"Lakewood, WA",,,,,XC,Fort Steilacoom Invitational,,addition,,snapshot:additions
2015-09-23,2015,1,False,5000,1129.0,363.3898752,"Snoqualmie, WA",,,,,XC,Woodinville & Redmond @ Mount Si,,addition,,snapshot:additions
2015-10-03,2015,1,False,5000,1086.0,349.5495168,"Marysville, WA",,,,,XC,Twilight XC Invitational,,addition,,snapshot:additions
2015-10-07,2015,1,False,5000,1113.0,358.2399744,"Bothell, WA",,,,,XC,Newport & Redmond @ Bothell,,addition,,snapshot:additions
2015-10-14,2015,1,False,5000,1096.0,352.76820480000003,"Issaquah, WA",,,,,XC,Redmond & Skyline @ Issaquah,,addition,,snapshot:additions
2015-10-24,2015,1,False,5000,1090.7,351.06230016,"Sammamish, WA",,,,,XC,KingCo 4A Championships,,addition,,snapshot:additions
