date,type,rep_dist,rep_count,pace_per_mile,rest_per_mile
2016-01-04,tempo,800,7,348.02064,60.35040000000001
2016-01-11,tempo,800,7,354.05568000000005,60.35040000000001
2016-01-19,tempo,1000,6,358.883712,64.37376
2016-01-25,tempo,1000,6,357.27436800000004,64.37376
2016-02-01,tempo,1200,5,358.07904,67.05600000000001
2016-02-08,tempo,1200,5,352.71456,60.35040000000001
2016-02-22,tempo,1600,4,354.05568000000005,60.35040000000001
2016-03-03,interval,1600,3,316.0,180.0
2016-03-08,rep,400,8,288.0,420.0
2016-03-10,interval,1600,3,308.0,180.0
2016-03-15,rep,400,8,281.0,420.0
2016-03-19,tempo,1000,2,333.0,60.0
2016-03-22,interval,800,5,307.0,140.0
2016-03-26,rep,400,8,282.0,420.0
2016-03-29,interval,800,5,301.0,140.0
2016-04-11,interval,1600,3,301.0,180.0
2016-04-19,interval,800,5,301.0,140.0
2016-04-23,rep,400,8,280.0,420.0
2016-04-26,rep,400,4,268.0,420.0
2016-05-03,rep,400,7,288.0,420.0
2016-05-09,interval,800,4,304.0,140.0
2016-06-03,rep,400,8,272.0,420.0
2016-07-25,tempo,1200,4,373.0,60.0
2016-08-29,interval,1000,6,339.0,180.0
2016-09-02,tempo,1600,4,360.0,60.0
2016-09-05,interval,1000,6,325.0,180.0
2016-09-12,interval,1000,6,323.0,180.0
2016-09-19,tempo,1600,4,355.0,60.0
2016-09-26,interval,800,7,320.0,140.0
2016-10-03,rep,400,4,294.0,420.0
2016-10-10,tempo,1600,4,345.0,60.0
2016-10-14,rep,400,8,295.0,420.0
2016-10-17,interval,500,10,313.0,180.0
2016-10-22,tempo,1600,3,346.0,60.0
2016-10-24,interval,400,12,314.0,180.0
2016-11-02,rep,300,10,286.0,420.0
2016-11-14,interval,1200,4,316.0,180.0
2016-11-21,interval,1000,6,320.0,180.0
2016-11-28,interval,1200,4,306.0,180.0
2016-12-05,interval,1000,5,336.0,180.0
2016-12-12,interval,1600,3,306.0,180.0
2016-12-21,interval,1600,3,326.0,180.0
2016-12-26,interval,1600,3,325.0,180.0
2017-01-03,tempo,1000,6,327.0,60.0
2017-01-09,tempo,1000,6,326.0,60.0
2017-01-17,tempo,1000,6,321.0,64.0
2017-01-23,tempo,1000,6,328.0,64.0
2017-01-30,tempo,1000,6,321.0,68.0
2017-02-06,tempo,1000,6,357.0,68.0
2017-02-13,tempo,1000,6,319.0,60.0
2017-02-20,tempo,1000,6,321.0,60.0
2017-03-02,interval,1600,3,299.0,160.0
2017-03-04,tempo,1000,6,327.0,60.0
2017-03-07,rep,400,10,273.0,360.0
2017-03-11,rep,400,6,266.0,480.0
2017-03-13,interval,800,5,295.0,184.0
2017-03-17,interval,800,7,297.0,208.0
2017-03-21,interval,1600,3,301.0,200.0
2017-03-28,rep,400,7,251.0,480.0
2017-04-10,interval,1600,3,296.0,190.0
2017-04-17,interval,1600,3,295.0,190.0
2017-04-25,interval,800,6,277.0,270.0
2017-05-01,interval,800,5,281.0,229.0
2017-05-15,rep,400,7,271.0,274.0
2017-05-17,rep,400,4,248.0,480.0
2017-05-29,tempo,1000,5,340.0,80.0
2017-06-05,tempo,1000,5,344.0,80.0
2017-06-19,tempo,1000,5,343.0,80.0
2017-06-26,interval,1600,3,311.0,160.0
2017-08-07,interval,1600,3,299.0,240.0
2017-08-14,interval,1600,3,342.0,192.0
2017-08-24,interval,1600,3,310.0,200.0
2017-08-29,tempo,1000,6,319.0,60.0
2017-09-05,tempo,1000,6,325.0,60.0
2017-09-12,tempo,1000,6,318.0,60.0
2017-09-19,tempo,1000,6,321.0,60.0
2017-09-26,tempo,1000,6,323.0,60.0
2017-10-03,tempo,1000,6,320.0,60.0
2017-10-10,interval,800,6,304.0,140.0
2017-10-17,tempo,1000,6,320.0,60.0
2017-10-24,tempo,1000,6,319.0,60.0
2017-10-31,tempo,1000,6,317.0,60.0
2017-11-07,tempo,1000,6,315.0,60.0
2017-11-14,interval,800,6,303.0,140.0
2017-11-20,interval,1600,3,362.0,192.0
2017-11-28,interval,800,6,303.0,140.0
2017-12-05,interval,800,6,300.0,140.0
2017-12-11,interval,800,6,310.0,140.0
