date,type,reason,raw
2016-03-05,tempo,time-based (minutes not meters),"15j, 29t@6:53, 16j"
2016-03-12,tempo,time-based (minutes not meters),"15j, 29t@6:02, 13j"
2016-05-07,fartlek,"sub-4000 fartlek, no rest annotation (ambiguous)","15j, 3200f@5:35, 17j"
2016-05-30,tempo,pace_suspect (total time in @),"17j, 5000t@18:43, 10j"
2016-06-17,tempo,pace_suspect (total time in @),"30j, 5000t@16:31, 18j"
2016-07-11,tempo,anomaly per Max,"15j, 6t/1j-4x@6:18, 15j"
2016-08-01,tempo,time-based (minutes not meters),"13j, 25t@6:06, 8j"
2016-08-08,tempo,time-based (minutes not meters),"15j, 25t@5:57, 10j"
2016-08-15,tempo,time-based (minutes not meters),"15j, 23t@6:23, 14j"
2016-08-22,tempo,time-based (minutes not meters),"9j, 11t@5:47, 19j"
2017-05-08,fartlek,"sub-4000 fartlek, 0 rest (continuous, no shape)","15j, 3200f@5:35 (0:00rest/mi), 14j"
2017-06-12,tempo,continuous tempo (0 rest),"11j, 8576t@5:40 (0:00 rest/mi), 12j"
2017-07-10,tempo,continuous tempo (0 rest),"21j; 19j, 7680t@5:50 (0:00 rest/mi), 14j"
2017-07-17,tempo,continuous tempo (0 rest),"21j; 18j, 6597t@6:20 (0:00 rest/mi), 12j"
2017-07-20,tempo,continuous tempo (0 rest),"10j, 7000t@5:29 (0:00 rest/mi), 10j"
2017-07-28,tempo,continuous tempo (0 rest),"10j, 7080t@5:27 (0:00 rest/mi), 8j"
2017-07-31,tempo,continuous tempo (0 rest),"15j, 7562t@5:57 (0:00 rest/mi), 15j"
2017-09-16,tempo,continuous tempo (0 rest),"9j, 6720t@5:50 (0:00 rest/mi), 8j"
2019-05-26,tempo,continuous tempo (0 rest),"15j, 5000t@5:56 (0:00 rest/mi), 15j"
2019-11-25,tempo,continuous tempo (0 rest),"16j, 5000t@5:56 (0:00 rest/mi), 17j"
2020-05-11,tempo,continuous tempo (0 rest),"12j, 10000t@5:22 (0:00 rest/mi), 12j"
2021-04-26,tempo,continuous tempo (0 rest),"13j, 5000t@5:35 (0:00 rest/mi), 14j"
2021-07-18,fartlek,"sub-4000 fartlek, 0 rest (continuous, no shape)","14j, 3100f@5:05 (0:00 rest/mi), 15j"
2022-07-29,tempo,continuous tempo (0 rest),"15j, 5000t@5:36 (0:00 rest/mi), 16j"
